Round,Subset,0,1,2,3,4,5,6,7,8,9
21,8,0.127,0.003,0.0,0.0,0.0,0.008,0.006,0.982,0.027,0.136
21,9,0.071,0.194,0.173,0.116,0.19,0.354,0.693,0.48,0.98,0.199
21,10,0.277,0.003,0.32,0.146,0.277,0.297,0.272,0.255,0.249,0.991
21,Aggregated,0.227,0.2,0.264,0.174,0.33,0.425,0.626,0.49,0.823,0.831
22,1,0.987,0.001,0.004,0.0,0.037,0.113,0.088,0.019,0.0,0.0
22,2,0.019,1.0,0.018,0.012,0.071,0.019,0.007,0.005,0.001,0.0
22,3,0.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4,0.162,0.098,0.011,0.988,0.007,0.0,0.0,0.004,0.084,0.037
22,5,0.002,0.012,0.0,0.0,1.0,0.0,0.0,0.0,0.037,0.027
22,6,0.066,0.039,0.0,0.0,0.0,0.999,0.0,0.0,0.04,0.02
22,7,0.14,0.027,0.002,0.003,0.006,0.009,0.994,0.006,0.034,0.022
22,8,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.998,0.0,0.002
22,9,0.031,0.301,0.112,0.201,0.288,0.379,0.471,0.359,0.983,0.184
22,10,0.302,0.002,0.225,0.187,0.297,0.23,0.468,0.367,0.258,0.981
22,Aggregated,0.303,0.353,0.221,0.234,0.296,0.352,0.63,0.459,0.826,0.807
23,1,1.0,0.0,0.0,0.003,0.0,0.0,0.0,0.004,0.0,0.0
23,2,0.038,0.996,0.009,0.001,0.0,0.0,0.003,0.018,0.007,0.0
23,3,0.0,0.002,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.015
23,4,0.118,0.087,0.0,0.995,0.0,0.0,0.0,0.0,0.093,0.048
23,5,0.027,0.092,0.0,0.001,0.996,0.006,0.0,0.003,0.007,0.034
23,6,0.012,0.013,0.0,0.0,0.0,1.0,0.0,0.0,0.002,0.001
23,7,0.1,0.058,0.007,0.002,0.0,0.006,0.993,0.029,0.256,0.056
23,8,0.008,0.0,0.001,0.0,0.0,0.0,0.0,1.0,0.02,0.0
23,9,0.13,0.244,0.212,0.199,0.239,0.43,0.499,0.349,0.98,0.227
23,10,0.329,0.02,0.138,0.223,0.266,0.412,0.166,0.406,0.197,0.983
23,Aggregated,0.377,0.238,0.216,0.265,0.348,0.515,0.526,0.44,0.767,0.851
24,1,0.987,0.0,0.011,0.034,0.006,0.001,0.018,0.025,0.002,0.002
24,2,0.015,0.997,0.035,0.003,0.07,0.001,0.005,0.019,0.0,0.0
24,3,0.003,0.034,0.995,0.003,0.0,0.002,0.001,0.011,0.022,0.003
24,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001
24,5,0.001,0.021,0.0,0.0,0.998,0.0,0.0,0.0,0.035,0.001
24,6,0.13,0.011,0.0,0.0,0.0,0.998,0.0,0.0,0.048,0.017
24,7,0.304,0.028,0.011,0.004,0.012,0.016,0.982,0.025,0.269,0.125
24,8,0.089,0.014,0.002,0.001,0.0,0.003,0.0,1.0,0.069,0.006
24,9,0.064,0.17,0.128,0.245,0.273,0.504,0.342,0.494,0.983,0.138
24,10,0.332,0.035,0.272,0.319,0.202,0.283,0.236,0.413,0.273,0.981
24,Aggregated,0.292,0.282,0.311,0.316,0.316,0.419,0.314,0.545,0.88,0.776
25,1,0.999,0.026,0.001,0.005,0.002,0.002,0.0,0.002,0.0,0.014
