Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
134,0.0183,0.0192,0.5098,0.4601,0.5364,1.7117,1.6616,1.7131,1.6671,1.7729
135,0.0195,0.0195,0.5233,0.4730,0.5824,2.0768,1.9382,1.7462,1.5648,1.7067
136,0.0230,0.0181,0.5419,0.4848,0.5133,1.8017,1.5835,1.7415,1.9493,1.7358
137,0.0232,0.0154,0.5068,0.5139,0.5679,1.7077,1.6198,1.6826,1.6133,1.7824
138,0.0207,0.0161,0.5180,0.5198,0.5287,1.7288,2.0461,1.6494,1.4924,1.8675
139,0.0242,0.0117,0.5467,0.5244,0.5206,1.8230,1.4927,1.6439,1.7033,1.7446
140,0.0128,0.0182,0.5234,0.5092,0.5416,1.5994,1.6784,1.6976,1.7517,1.6522
141,0.0215,0.0144,0.4707,0.5640,0.5590,1.7050,1.5786,1.5145,1.7602,1.7289
142,0.0133,0.0155,0.5831,0.4911,0.6375,1.7698,1.7759,1.7102,1.5558,1.9818
143,0.0187,0.0217,0.4888,0.4889,0.4848,1.7692,1.7630,1.9305,1.5753,1.7540
144,0.0139,0.0135,0.4445,0.4848,0.4879,1.7933,1.9055,1.6263,1.7001,1.7894
145,0.0157,0.0086,0.5243,0.4563,0.5291,1.7553,1.7734,1.9131,1.8353,1.8747
146,0.0145,0.0200,0.5056,0.5393,0.5373,1.8935,1.8849,1.6915,1.5616,1.6030
147,0.0156,0.0259,0.5169,0.5307,0.4842,1.7684,1.8896,1.6398,1.8828,1.7550
148,0.0195,0.0134,0.4894,0.4957,0.5762,1.7515,1.7502,1.9830,1.8061,1.7907
149,0.0234,0.0176,0.5077,0.4670,0.5034,1.7668,1.6993,1.7275,1.7075,1.8431
150,0.0148,0.0119,0.4300,0.5271,0.5211,1.8943,1.9468,1.7016,1.7013,1.7240
151,0.0131,0.0102,0.5375,0.4880,0.5314,1.5901,1.7415,1.7401,1.6872,1.6980
152,0.0152,0.0154,0.5262,0.4913,0.5541,1.6504,1.6387,1.7973,1.7772,1.7048
153,0.0149,0.0097,0.4971,0.4632,0.5042,1.7544,1.9233,1.6284,1.6729,1.7602
154,0.0115,0.0178,0.5186,0.5290,0.5018,1.7044,1.7870,1.6829,1.7477,1.6603
155,0.0107,0.0274,0.4692,0.5686,0.4981,1.7280,1.7572,1.6720,1.8004,1.7539
156,0.0306,0.0154,0.5012,0.5023,0.4835,1.7227,1.7868,1.8395,1.6936,1.5555
157,0.0132,0.0124,0.4812,0.4991,0.5503,1.7421,1.9938,1.6232,1.8307,1.9878
158,0.0207,0.0140,0.5184,0.5117,0.4848,1.5843,1.8514,2.0446,1.8808,1.7989
159,0.0105,0.0136,0.4716,0.5038,0.4690,1.7063,1.9307,1.7966,1.6587,1.5667
