Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
176,0.762,0.824,0.63,0.371,0.674,0.441,0.82,0.662,0.809,0.65
177,0.774,0.825,0.586,0.396,0.694,0.514,0.789,0.67,0.787,0.686
178,0.77,0.839,0.576,0.367,0.744,0.453,0.817,0.662,0.783,0.659
179,0.769,0.824,0.616,0.403,0.749,0.461,0.784,0.654,0.773,0.653
180,0.752,0.849,0.6,0.378,0.667,0.48,0.829,0.67,0.817,0.682
181,0.761,0.822,0.565,0.38,0.735,0.496,0.828,0.686,0.762,0.67
182,0.767,0.842,0.589,0.369,0.717,0.452,0.829,0.648,0.794,0.654
183,0.772,0.836,0.577,0.391,0.715,0.515,0.797,0.698,0.774,0.631
184,0.758,0.825,0.598,0.372,0.721,0.523,0.775,0.656,0.8,0.656
185,0.733,0.832,0.593,0.377,0.734,0.448,0.82,0.669,0.769,0.612
186,0.754,0.846,0.568,0.447,0.745,0.483,0.786,0.69,0.791,0.664
187,0.746,0.829,0.542,0.44,0.75,0.499,0.791,0.684,0.766,0.699
188,0.751,0.824,0.574,0.395,0.686,0.484,0.844,0.622,0.805,0.692
189,0.745,0.836,0.596,0.353,0.71,0.435,0.85,0.634,0.806,0.687
190,0.722,0.8,0.575,0.42,0.741,0.458,0.817,0.636,0.77,0.715
191,0.751,0.823,0.626,0.348,0.712,0.461,0.814,0.66,0.792,0.675
192,0.772,0.836,0.549,0.413,0.738,0.559,0.738,0.705,0.78,0.662
193,0.742,0.811,0.604,0.358,0.718,0.455,0.84,0.632,0.775,0.644
194,0.737,0.818,0.596,0.384,0.711,0.465,0.854,0.642,0.781,0.666
195,0.738,0.845,0.6,0.395,0.719,0.498,0.778,0.654,0.827,0.661
196,0.782,0.842,0.597,0.413,0.701,0.486,0.797,0.657,0.772,0.652
197,0.763,0.839,0.575,0.406,0.703,0.5,0.819,0.696,0.795,0.677
198,0.79,0.84,0.59,0.427,0.672,0.479,0.779,0.675,0.806,0.684
199,0.755,0.848,0.526,0.407,0.766,0.459,0.81,0.711,0.766,0.624
200,0.749,0.846,0.635,0.384,0.691,0.516,0.777,0.65,0.797,0.63
