Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
148,0.0083,0.0026,0.3656,0.347,0.422,1.1233,1.122,0.7796,0.7956,1.2452
149,0.013,0.0078,0.3904,0.3916,0.3331,0.8907,0.7404,0.8559,0.7284,1.0563
150,0.0082,0.0038,0.3539,0.3329,0.3093,0.9552,0.9263,0.8991,1.05,1.2361
151,0.009,0.0041,0.3694,0.3827,0.3522,1.0134,0.8439,0.8591,0.8416,1.0214
152,0.0065,0.0049,0.3708,0.3588,0.3329,0.9268,0.8517,0.9034,1.0164,0.7869
153,0.0094,0.0037,0.3896,0.3637,0.328,0.8796,0.9854,0.9405,0.7078,0.9478
154,0.0118,0.0071,0.3601,0.3733,0.357,0.888,0.9081,1.1354,0.8586,1.062
155,0.0069,0.0025,0.3495,0.3528,0.3225,0.9222,0.967,0.9951,0.9853,0.8555
156,0.0047,0.0026,0.3786,0.3413,0.3349,1.2571,0.744,0.9848,0.7381,0.8245
157,0.0071,0.0035,0.3379,0.3658,0.3818,0.9719,0.9242,0.8251,1.0596,0.8261
158,0.0121,0.0037,0.3825,0.352,0.3101,0.8618,0.9289,1.0577,0.9017,0.9847
159,0.0068,0.0038,0.3434,0.3725,0.3181,0.9696,0.8802,0.9799,0.8704,0.845
160,0.0101,0.0051,0.3741,0.3622,0.3782,1.0981,0.9503,0.8829,0.8522,0.9346
161,0.0055,0.003,0.3841,0.3371,0.349,1.0174,0.8288,0.8143,1.1785,0.7256
162,0.0047,0.0037,0.3405,0.3295,0.3052,1.0782,0.8007,0.9541,0.8826,0.751
163,0.0058,0.0054,0.3342,0.3633,0.335,0.9413,0.918,1.465,0.7223,0.8762
164,0.0062,0.0051,0.3562,0.3374,0.3486,1.054,0.8131,0.9232,1.1309,0.7112
165,0.0072,0.0048,0.3334,0.3207,0.341,0.837,0.8627,0.8751,0.838,0.7662
166,0.0064,0.0045,0.3611,0.4065,0.2852,0.9334,0.7913,0.8378,0.7654,1.0907
167,0.0063,0.0024,0.352,0.3668,0.3214,1.0153,0.7968,0.8797,0.8542,0.7678
168,0.0053,0.0028,0.323,0.3366,0.318,0.9909,1.0391,0.821,0.8723,1.4736
169,0.0049,0.0024,0.3305,0.3161,0.3601,0.9697,0.9401,0.7581,0.6805,0.8979
170,0.0058,0.0022,0.3749,0.3086,0.3175,0.9932,0.8272,0.8274,0.8611,0.7369
171,0.0073,0.0015,0.322,0.3667,0.3285,0.9599,1.309,0.9871,0.9268,0.9622
172,0.0065,0.0032,0.3719,0.3474,0.3515,1.0497,0.9565,0.9766,1.0974,0.7838
173,0.0047,0.0025,0.3602,0.3625,0.3279,0.86,1.0753,1.189,0.9263,0.7272
174,0.0047,0.0033,0.3465,0.3371,0.3582,0.8145,0.7321,1.0338,0.9782,0.9193
175,0.0092,0.0034,0.3755,0.3696,0.3304,0.941,0.9269,0.9081,1.4295,1.0527
176,0.0073,0.0028,0.3426,0.3704,0.3512,1.2218,0.8893,0.9217,0.8745,0.7665
177,0.0059,0.0023,0.3565,0.3525,0.2819,0.8451,0.8247,1.0252,0.8124,0.977
178,0.0091,0.0034,0.3937,0.3762,0.3261,1.8165,0.735,1.0667,0.952,0.8113
179,0.0055,0.0029,0.3324,0.3436,0.3869,0.9885,0.68,0.8508,1.1406,0.8754
180,0.0055,0.0019,0.357,0.316,0.299,0.7767,0.8913,0.9909,1.0249,1.414
181,0.005,0.0023,0.3401,0.3682,0.3069,0.9446,1.0159,0.9008,0.8753,0.9219
182,0.0032,0.0013,0.3458,0.3539,0.3332,1.0501,1.0352,0.992,0.7971,1.1386
183,0.0056,0.0013,0.3345,0.3255,0.3166,0.8593,1.068,0.8547,0.923,0.8036
184,0.0036,0.0026,0.3233,0.3434,0.3235,1.0464,0.8385,0.8281,0.8337,0.8978
185,0.0047,0.0024,0.3859,0.3435,0.3252,1.3218,0.8534,1.0523,1.3886,0.6685
186,0.0076,0.0035,0.3444,0.3595,0.3104,0.9175,0.9924,0.9052,0.8429,0.9889
187,0.005,0.0024,0.3767,0.3187,0.3191,1.0446,1.0803,0.9342,0.7368,0.7885
188,0.0025,0.0052,0.3822,0.3781,0.3195,1.0135,1.0183,0.9621,0.926,0.8954
189,0.0048,0.0028,0.3094,0.3282,0.371,1.0548,0.8152,0.9236,0.8381,0.8982
190,0.0036,0.0023,0.3452,0.354,0.2989,1.1162,0.8684,1.035,0.8804,0.8778
191,0.0041,0.0013,0.3547,0.3652,0.3289,0.8788,1.4418,1.1698,1.4207,0.9374
192,0.0047,0.0032,0.3431,0.3682,0.3277,1.1059,0.9354,1.196,1.105,1.2729
193,0.0049,0.0036,0.3075,0.3248,0.3217,0.985,0.9726,0.9123,1.0259,1.1333
194,0.0033,0.0023,0.3602,0.3216,0.3148,1.0426,1.0764,0.8376,0.9992,1.3078
195,0.0028,0.0057,0.3739,0.3571,0.3155,1.0694,0.8357,0.8702,0.8216,0.8546
196,0.0081,0.0022,0.3786,0.3353,0.3487,1.1098,0.9542,1.0722,0.7864,0.8775
197,0.0028,0.0029,0.3486,0.3158,0.319,1.0263,1.1183,1.0586,0.8206,0.9045
198,0.0037,0.0028,0.4108,0.3502,0.3126,1.0213,1.0383,0.8981,0.8121,0.9031
199,0.0037,0.0035,0.3028,0.3217,0.2853,0.9112,0.8849,0.9539,1.0938,1.0871
200,0.0052,0.0014,0.3676,0.3482,0.3598,1.0203,0.87,1.236,0.8625,0.7922
