Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
185,0.641,0.747,0.552,0.357,0.675,0.548,0.853,0.662,0.84,0.76
186,0.658,0.736,0.531,0.364,0.699,0.564,0.847,0.671,0.843,0.749
187,0.652,0.744,0.537,0.357,0.674,0.555,0.858,0.664,0.839,0.752
188,0.644,0.747,0.55,0.341,0.689,0.525,0.865,0.66,0.842,0.74
189,0.632,0.737,0.571,0.343,0.673,0.528,0.86,0.645,0.859,0.743
190,0.633,0.743,0.54,0.338,0.683,0.549,0.864,0.656,0.848,0.743
191,0.649,0.723,0.555,0.329,0.687,0.519,0.863,0.664,0.853,0.744
192,0.659,0.747,0.579,0.358,0.696,0.516,0.85,0.65,0.857,0.738
193,0.646,0.731,0.552,0.347,0.687,0.539,0.855,0.667,0.833,0.754
194,0.639,0.734,0.537,0.353,0.685,0.556,0.863,0.67,0.837,0.762
195,0.653,0.738,0.552,0.364,0.683,0.567,0.851,0.671,0.84,0.761
196,0.654,0.749,0.547,0.343,0.679,0.552,0.859,0.662,0.847,0.745
197,0.637,0.746,0.549,0.342,0.694,0.514,0.863,0.642,0.851,0.735
198,0.621,0.745,0.529,0.366,0.706,0.556,0.86,0.653,0.835,0.748
199,0.644,0.738,0.533,0.336,0.702,0.553,0.862,0.666,0.835,0.757
200,0.643,0.749,0.539,0.342,0.706,0.56,0.86,0.673,0.826,0.763
