Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
113,0.4516,0.4260,0.4919,0.4655,0.4682,0.8254,0.8668,0.8223,0.8190,0.8359
114,0.4368,0.4022,0.4797,0.4575,0.4752,0.8430,0.8645,0.8282,0.8343,0.8494
115,0.4357,0.3994,0.4726,0.4785,0.4660,0.8545,0.8666,0.8074,0.8188,0.8331
116,0.4391,0.3897,0.4840,0.4500,0.4742,0.8486,0.8662,0.8244,0.8283,0.8439
117,0.4497,0.3919,0.4656,0.4351,0.4568,0.8496,0.8417,0.8181,0.8166,0.8433
118,0.4100,0.3867,0.4608,0.4588,0.4682,0.8498,0.8477,0.8288,0.8328,0.8359
119,0.3987,0.3991,0.4557,0.4700,0.4465,0.8413,0.8467,0.8195,0.8049,0.8328
120,0.4422,0.4059,0.4632,0.4477,0.4769,0.8444,0.8439,0.8250,0.8275,0.8348
121,0.4025,0.3882,0.4819,0.4460,0.4448,0.8338,0.8577,0.8303,0.8380,0.8215
122,0.4376,0.3952,0.4592,0.4665,0.4571,0.8544,0.8374,0.8299,0.8333,0.8257
123,0.4145,0.3928,0.4618,0.4490,0.4421,0.8339,0.8513,0.8219,0.8234,0.8298
124,0.4010,0.3975,0.4614,0.4562,0.4676,0.8470,0.8501,0.8076,0.8318,0.8286
125,0.4236,0.3598,0.4594,0.4447,0.4712,0.8390,0.8733,0.8090,0.8326,0.8481
126,0.4047,0.3817,0.4586,0.4509,0.4417,0.8655,0.8600,0.8054,0.8231,0.8205
127,0.4029,0.3692,0.4435,0.4443,0.4623,0.8377,0.8748,0.8046,0.8400,0.8287
128,0.3968,0.3614,0.4525,0.4415,0.4458,0.8265,0.8529,0.7926,0.8206,0.8504
129,0.3910,0.3926,0.4409,0.4391,0.4544,0.8405,0.8519,0.8062,0.8175,0.8252
130,0.4031,0.3615,0.4564,0.4321,0.4527,0.8338,0.8525,0.8315,0.8231,0.8260
131,0.4177,0.3694,0.4553,0.4296,0.4521,0.8374,0.8736,0.8077,0.8217,0.8387
132,0.3878,0.3774,0.4654,0.4674,0.4482,0.8374,0.8539,0.8366,0.8195,0.8300
133,0.4003,0.3717,0.4411,0.4457,0.4502,0.8661,0.8537,0.8169,0.8022,0.8213
134,0.3992,0.3565,0.4261,0.4462,0.4265,0.8495,0.8657,0.8292,0.8260,0.8489
135,0.3867,0.3702,0.4553,0.4374,0.4419,0.8461,0.8471,0.8137,0.8014,0.8319
136,0.4072,0.3602,0.4253,0.4196,0.4428,0.8489,0.8642,0.8131,0.8490,0.8463
137,0.3966,0.3768,0.4461,0.4323,0.4419,0.8431,0.8748,0.8069,0.8264,0.8474
138,0.3983,0.3428,0.4460,0.4320,0.4431,0.8357,0.8591,0.8173,0.8247,0.8626
139,0.4229,0.3648,0.4517,0.4323,0.4412,0.8289,0.8560,0.8093,0.8269,0.8206
140,0.3977,0.3704,0.4417,0.4392,0.4378,0.8460,0.8613,0.8160,0.8265,0.8454
141,0.3845,0.3696,0.4550,0.4228,0.4461,0.8385,0.8504,0.8243,0.8155,0.8449
142,0.3757,0.3914,0.4404,0.4263,0.4244,0.8491,0.8595,0.8209,0.8352,0.8498
143,0.4229,0.3780,0.4355,0.4307,0.4301,0.8429,0.8659,0.8078,0.8336,0.8277
144,0.3649,0.3651,0.4341,0.4192,0.4619,0.8526,0.8748,0.8012,0.8355,0.8354
145,0.3789,0.3759,0.4361,0.4467,0.4260,0.8481,0.8459,0.8100,0.8549,0.8507
146,0.3617,0.3507,0.4322,0.4346,0.4208,0.8497,0.8556,0.8106,0.8303,0.8369
147,0.3772,0.3670,0.4223,0.4307,0.4286,0.8483,0.8717,0.8200,0.8361,0.8325
148,0.4251,0.3851,0.4295,0.4088,0.4296,0.8488,0.8770,0.8172,0.8243,0.8436
149,0.4213,0.3462,0.4226,0.4386,0.4407,0.8226,0.8636,0.8296,0.8380,0.8243
150,0.3659,0.3618,0.4430,0.4262,0.4425,0.8473,0.8672,0.8183,0.8182,0.8291
151,0.3749,0.3570,0.4180,0.4164,0.4214,0.8590,0.8606,0.8384,0.8237,0.8356
152,0.3911,0.3472,0.4208,0.4159,0.4104,0.8386,0.8592,0.8172,0.8184,0.8474
